Evaluation,FEN
0,r1b1k1nr/ppp1qppp/2nb4/1B2p3/2p5/1P2PN2/PB1P1PPP/RN1QK2R w KQkq - 0 7
0.2,r1b1k1nr/ppp1qppp/2nb4/1B2p3/2P5/4PN2/PB1P1PPP/RN1QK2R b KQkq - 0 7
0.2,r1b1k2r/ppp1qppp/2nb1n2/1B2p3/2P5/4PN2/PB1P1PPP/RN1QK2R w KQkq - 1 8
0.1,r1b1k2r/ppp1qppp/2nb1n2/1BP1p3/8/4PN2/PB1P1PPP/RN1QK2R b KQkq - 0 8
-0.1,r1b1k2r/ppp1qppp/2n2n2/1Bb1p3/8/4PN2/PB1P1PPP/RN1QK2R w KQkq - 0 9
0,r1b1k2r/ppp1qppp/2n2n2/1Bb1B3/8/4PN2/P2P1PPP/RN1QK2R b KQkq - 0 9
0,r1b2rk1/ppp1qppp/2n2n2/1Bb1B3/8/4PN2/P2P1PPP/RN1QK2R w KQ - 1 10
-0.2,r1b2rk1/ppp1qppp/2n2B2/1Bb5/8/4PN2/P2P1PPP/RN1QK2R b KQ - 0 10
0,r1b2rk1/ppp2ppp/2n2q2/1Bb5/8/4PN2/P2P1PPP/RN1QK2R w KQ - 0 11
0,r1b2rk1/ppp2ppp/2n2q2/1Bb5/8/2N1PN2/P2P1PPP/R2QK2R b KQ - 1 11
0,r1b2rk1/ppp2ppp/2n3q1/1Bb5/8/2N1PN2/P2P1PPP/R2QK2R w KQ - 2 12
0,r1b2rk1/ppp2ppp/2n3q1/1Bb5/8/2N1PN2/P2P1PPP/R2Q1RK1 b - - 3 12
0,r4rk1/ppp2ppp/2n3q1/1Bb5/8/2N1PN1b/P2P1PPP/R2Q1RK1 w - - 4 13
0,r4rk1/ppp2ppp/2n3q1/1Bb5/7N/2N1P2b/P2P1PPP/R2Q1RK1 b - - 5 13
0.1,r4rk1/ppp2ppp/2n4q/1Bb5/7N/2N1P2b/P2P1PPP/R2Q1RK1 w - - 6 14
0.1,r4rk1/ppp2ppp/2n4q/1Bb5/7N/2N1PQ1b/P2P1PPP/R4RK1 b - - 7 14
0,r4rk1/ppp2ppp/2n5/1Bb5/7q/2N1PQ1b/P2P1PPP/R4RK1 w - - 0 15
0,r4rk1/ppp2ppp/2n5/1Bb5/7q/2N1P2Q/P2P1PPP/R4RK1 b - - 0 15
0,r4rk1/ppp2ppp/2n5/1Bb5/8/2N1P2q/P2P1PPP/R4RK1 w - - 0 16
0,r4rk1/ppp2ppp/2n5/1Bb5/8/2N1P2P/P2P1P1P/R4RK1 b - - 0 16
0,r4rk1/ppp2ppp/8/n1b5/8/2N1P2P/P2PBP1P/R4RK1 b - - 2 17
0,r4rk1/ppp2ppp/8/nBb5/8/2N1P2P/P2P1P1P/R4RK1 w - - 1 17
0,r4rk1/ppp1bppp/8/n7/8/2N1P2P/P2PBP1P/R4RK1 w - - 3 18
-0.1,r4rk1/ppp1bppp/8/n7/3P4/2N1P2P/P3BP1P/R4RK1 b - - 0 18
0,r4rk1/pp2bppp/2p5/n7/3P4/2N1P2P/P3BP1P/R4RK1 w - - 0 19
0,r4rk1/pp2bppp/2p5/n7/3P4/2N1P2P/P3BP1P/R2R2K1 b - - 1 19
0,r4rk1/pp2bp1p/2p3p1/n7/3P4/2N1P2P/P3BP1P/R2R2K1 w - - 0 20
0,r4rk1/pp2bp1p/2p3p1/n7/3P4/2N1P2P/P3BP1P/2RR2K1 b - - 1 20
0,r2r2k1/pp2bp1p/2p3p1/n7/3P4/2N1P2P/P3BP1P/2RR2K1 w - - 2 21
0,r2r2k1/pp2bp1p/2p3p1/n7/3P4/2N1P2P/P3BPKP/2RR4 b - - 3 21
0,r2r2k1/p3bp1p/1pp3p1/n7/3P4/2N1P2P/P3BPKP/2RR4 w - - 0 22
